Datetime,CO(GT),PT08.S1(CO),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),RH,AH,C6H6(GT)
2004-03-10 18:00:00,2.6,1360.0,1076.885766438576,166.0,809.5039047805176,113.0,1692.0,1268.0,48.9,0.7578,11.9
2004-03-10 19:00:00,2.0,1292.0,955.0,102.95907042179634,1174.0,92.0,1559.0,972.0,58.096321017620355,0.7255,9.4
2004-03-10 20:00:00,1.9150509427595435,1402.0,939.0,131.0,1140.0,114.0,1389.85917920471,1074.0,54.0,1.0834193838249684,9.0
2004-03-10 21:00:00,2.2,1376.0,948.0,172.0,1092.0,122.0,1411.24384003807,1203.0,60.0,0.7867,9.2
2004-03-10 22:00:00,1.6,1272.0,903.0528550206956,131.0,1205.0,116.0,1490.0,1110.0,59.6,0.7888,6.5
2004-03-10 23:00:00,1.2,1090.2853946887803,750.0,89.0,1337.0,96.0,1393.0,949.0,59.2,1.1147034367342383,4.7
2004-03-11 00:00:00,1.2,1185.0,752.9622453909294,14.4094114305436,1462.0,99.26870809092227,1333.0,733.0,56.8,0.7603,3.6
2004-03-11 01:00:00,1.0,1136.0,672.0,62.0,1979.9487686156256,76.0,1333.0,730.0,60.0,0.7702,6.4314585007996365
2004-03-11 02:00:00,0.9,1094.0,609.0,13.881114113456576,1579.0,60.0,1089.8727335693395,620.0,63.219513927166034,0.7648,2.3
2004-03-11 03:00:00,0.9400950776235507,680.6767838423406,474.6993436655579,36.25865314407796,1705.0,23.70758411020431,1235.0,501.0,60.2,0.7517,1.7
2004-03-11 04:00:00,1.1147248752572227,1011.0,530.5237280270064,21.0,1818.0,34.0,1197.0,909.0384473962516,60.5,0.7465,5.211160298975379
2004-03-11 05:00:00,0.7,607.6489924372574,512.0,174.91007250012402,1918.0,32.778258644734805,1182.0,275.51402325239326,56.2,0.7366,1.1
2004-03-11 06:00:00,0.7,1052.0,553.0,34.0,2368.7959734692577,48.0,1221.0,472.0,58.1,1.22108840072718,1.6
2004-03-11 07:00:00,1.1,1144.0,667.0,17.23279944244415,1370.268609637978,82.0,1124.2921989810732,730.0,59.54375880875685,0.7417,5.309763199565334
2004-03-11 08:00:00,2.0,1333.0,976.1818897421083,174.0,1167.2820087523658,112.0,1517.0,1102.0,57.4,0.7408,8.0
2004-03-11 09:00:00,2.2,978.0363235807713,960.0,129.0,1079.0,51.0625701164433,1961.8779485133618,1028.0,53.15028959547158,0.7691,9.5
2004-03-11 10:00:00,1.7,1233.0,827.0,112.0,1641.4388142099044,98.0,1446.0,860.0,58.4,0.7552,8.202958445447264
2004-03-11 11:00:00,1.5,1179.0,762.0,95.0,1328.0,92.0,1360.354257417221,1113.779396873447,57.9,0.7352,5.0
2004-03-11 12:00:00,1.6,1005.4173177307292,774.0,104.0,1301.0,95.0,1401.0,664.0,66.8,1.1115540701270652,5.2
2004-03-11 13:00:00,1.9,966.8258256727313,1046.858852631557,481.06233791302463,1162.0,112.0,1537.0,799.0,76.4,0.8393,7.3
2004-03-11 14:00:00,2.9,1371.0,1034.0,207.0,983.0,128.0,1465.2571331422334,1037.0,81.1,0.8736,11.5
2004-03-11 15:00:00,2.2,1310.0,933.0,184.0,1082.0,117.27220050215385,1647.0,946.0,79.8,0.8778,8.8
2004-03-11 16:00:00,2.2,1292.0,912.0,193.0,1869.3207489036329,131.0,1591.0,957.0,78.97766943439238,1.3413803491638416,8.3
2004-03-11 17:00:00,2.9,1383.0,1020.0,243.0,1008.0,135.0,1719.0,1797.8532360637435,67.6,0.8185,11.2
2004-03-11 18:00:00,4.8,1581.0,1348.541616429866,220.47665309182128,799.0,151.0,2083.0,1409.0,64.2,0.8065,20.8
2004-03-11 19:00:00,6.9,1776.0,1488.0,383.0,702.0,172.0,2333.0,1704.0,60.85344197087127,0.8319,27.4
2004-03-11 20:00:00,6.1,1746.7905723667218,1404.0,166.43904998381333,743.0,165.0,2191.0,1654.0,60.657735233303896,0.8133,24.0
2004-03-11 21:00:00,3.9,1313.0,1076.0,240.0,957.0,123.82050683784117,1707.0,1285.0,64.0,0.7419,12.8
2004-03-11 22:00:00,1.5,965.0,698.0657337338555,94.0,1325.0,85.0,1333.0,821.0,63.4,0.6905,4.7
2004-03-11 23:00:00,1.0,913.0,629.0,47.0,1565.0,53.0,1252.0,552.0,60.8,0.6657,2.6
2004-03-12 00:00:00,1.7,1099.2549110245404,810.3350717833779,122.0,1254.0,97.0,1375.0,816.0,58.5,0.6438,5.9
2004-03-12 01:00:00,1.9,1044.0,829.0,133.0,1247.0,110.0,1378.0,832.0,59.7,0.6308,8.84445618216302
2004-03-12 02:00:00,1.4,988.0,718.0,82.0,1396.0,91.0,1304.0,588.320881968449,55.39354348106254,1.0738242558734896,4.1
2004-03-12 03:00:00,0.8,889.0,574.0,35.62873646106067,1626.1870628252675,61.6122361168806,1187.0,512.0,62.3,0.6261,1.9
2004-03-12 04:00:00,0.8390877220269044,831.0,506.0,21.0,1893.0,53.097622896280726,1134.0,329.73045897442773,65.9,1.0698250181601603,1.1
2004-03-12 05:00:00,0.6,847.0,514.1567001180634,30.0,1895.0,44.0,1155.0,394.0,65.0,0.6233,1.0
2004-03-12 06:00:00,0.8,910.5686329868352,571.0,6.642898672475478,1685.0,71.0,1223.0,487.0,62.9,0.6234,1.8
2004-03-12 07:00:00,1.4,1091.0,730.0,109.0,1387.0,104.0,1361.0,748.0,59.44464437259326,0.6316,4.4
2004-03-12 08:00:00,4.4,1587.0,1178.1668426173662,75.27497178070234,897.0,141.0,1900.0,1400.0,59.73083842146186,1.342934676574464,17.9
2004-03-12 09:00:00,3.15077580493126,1545.0,1353.0,313.47561026266766,767.0,152.06551481819372,2058.0,1588.0,59.67726759789806,0.6561,15.586567556625468
2004-03-12 10:00:00,3.1,1350.0,1118.0,187.0,912.0,122.0,1712.0,1237.0,41.7,0.632,11.87667764565231
2004-03-12 11:00:00,2.7,1263.0,1037.0,216.0,969.0,143.0,1628.4124830488647,1167.0,38.4,0.6243,11.6
2004-03-12 12:00:00,2.1,1272.345466433026,986.0,143.0,1035.0,113.0,1537.0,959.0,36.5,0.6195,9.97996127500643
2004-03-12 13:00:00,2.5,1252.0,1002.4561363286866,160.0,1008.0,116.0,1593.0,983.0,34.5,0.6262,11.0
2004-03-12 14:00:00,1.468776903931163,1287.0,782.2036588365113,28.621548470797848,949.0,123.0,1187.1047469307164,1061.0,35.7,0.6559999999999999,12.8
2004-03-12 15:00:00,2.9,1353.0,1122.0,79.79233121901184,423.7746245386892,126.0,1740.0,1139.0,38.63956715752305,1.1492142003439465,14.2
2004-03-12 16:00:00,2.8,1309.0,1076.839576124285,178.0,686.9245797536163,120.0,1690.420573117472,1277.6143982415103,50.18726210753259,0.6657,12.7
2004-03-12 17:00:00,2.4,1274.0,1041.0,150.0,1006.0,119.0,1610.0,994.0,34.3,0.6549,11.7
2004-03-12 18:00:00,3.9,1510.0,1277.0,206.0,812.0,147.5889550548134,1910.0,1410.0,39.6,0.6766,19.3
2004-03-12 19:00:00,3.7,1525.0,1246.0,202.0,821.0,145.0,1847.0,1448.0,58.56436351528163,0.7084,18.2
2004-03-12 20:00:00,6.6,1843.0,1610.0,340.0,624.0,170.0,2390.0,1887.0,50.5,0.7478,32.6
2004-03-12 21:00:00,4.4,1598.0,1299.0,274.0,752.0,149.0,1941.0,1627.0,53.3,0.7536,20.1
2004-03-12 22:00:00,3.5,1484.0,1127.0,137.5775950531282,839.0,139.0,1723.0,1297.3820810893174,59.1,0.774,14.3
2004-03-12 23:00:00,5.4,1677.0,1346.0,113.14886685903436,741.0,134.0,2062.0,1351.8610638837465,64.6,0.7771,21.8
2004-03-13 00:00:00,2.7,1410.6578662920474,964.0,193.0,1447.671825734745,132.5416615549655,1544.0,1285.0,74.81137656949126,0.7597,9.6
2004-03-13 01:00:00,1.9,1196.0,873.0,139.0,1071.0,97.0,1463.0,1144.0,63.9,0.7423,7.4
2004-03-13 02:00:00,1.6,1184.0,782.0,83.0,1176.0,98.50895163322036,1365.0,1130.8131223446978,63.9,0.7256,7.768787072787853
2004-03-13 03:00:00,1.7,1172.0,757.6724843683471,23.89956392601854,1239.9958393968136,92.12601663195555,1380.0,996.0,67.5,0.7173,7.070119033226999
2004-03-13 04:00:00,1.7326110321041914,1147.0,821.0,109.0,1476.2153196144957,83.0,1542.4733950750397,992.0,67.22487784188236,0.7158,6.2
2004-03-13 05:00:00,1.0,978.0,625.0,62.0,1420.0,65.0,1274.0,819.0,63.6,1.0573395103719565,2.6
2004-03-13 06:00:00,1.2857084101331688,1100.0,646.0,53.0,1406.0,85.29325554326007,1268.0,835.0,67.5,0.6887,6.285222388476847
2004-03-13 07:00:00,1.5,1112.0,770.0,56.202890634321506,1228.0,86.64769780116373,1409.0,940.0,71.9,1.1053435314049012,5.1
2004-03-13 08:00:00,2.434492484707153,1336.0,1043.0,256.0,935.0,128.69336572619758,1678.0,1192.0,56.27698410282298,0.6945,11.8
2004-03-13 09:00:00,3.7,1408.0,1153.0,295.0,830.0,119.0,1777.0,1411.0,59.7,0.7124,15.1
2004-03-13 10:00:00,3.2,1447.0,1081.0,250.0,869.0,141.91797338048994,1667.0,1465.0,51.2,1.18534971277609,12.9
2004-03-13 11:00:00,2.8522031669491295,1542.0,1184.0,296.0,808.0,158.0,1660.1154172556514,1583.0,42.2,0.7451,12.712351190935664
2004-03-13 12:00:00,3.7021065239625206,907.4661964408518,1117.0,762.9804565029191,163.6898362227433,161.0,1058.9919560684416,1119.0006430701085,33.8,0.7090000000000001,16.164255939899764
2004-03-13 13:00:00,2.8,1328.0,1059.0,153.0,715.5335229353691,124.0,1600.0,1101.0,31.3,0.695,12.3
2004-03-13 14:00:00,1.8073507769114128,1207.0,924.0,118.0,1088.0,102.0,1488.0,850.0,34.8,0.7127,8.6
2004-03-13 15:00:00,2.0,1197.8840146658029,947.0,119.0,916.7785697748551,109.063659751372,1532.0,947.0,49.370955843770986,0.7042,9.2
2004-03-13 16:00:00,3.234753539684794,750.3908411640928,987.0,634.6713476650839,6.134981164018607,124.0,1058.3668870540191,1078.0,25.618471311194735,0.7012,10.2
2004-03-13 17:00:00,2.3,1326.0,1000.0,22.210499325660912,605.0308652607661,125.0,1602.0,1084.0,37.8,0.7117,10.6
2004-03-13 18:00:00,3.2,1473.0,1163.0,227.0,831.0,148.0,1779.0,1395.0,57.9300949258857,0.7451,15.5
2004-03-13 19:00:00,4.2,1609.0,1286.0,277.0,758.0,165.0,1922.0,1612.0,42.4,0.7569,14.081714231547997
2004-03-13 20:00:00,4.2,1611.0,1274.0,247.15153886052082,754.0,161.0,1915.0,1697.0,44.1,0.7786,19.2
2004-03-13 21:00:00,4.2,1621.0,1247.0,282.3492112128842,762.0,159.0,1860.0,1886.0,46.8,0.8091,13.734305643740813
2004-03-13 22:00:00,3.1,1425.7240765155639,1089.0,214.0,844.0,143.0,1748.0,1624.0,63.71100523224253,0.8059999999999999,13.1
2004-03-13 23:00:00,2.0970826106359772,1418.0,1010.1416463196227,107.3748264353883,892.0,130.0,1603.0,1355.6904682148481,59.180153200493336,0.8193,10.9
